P001,10000001,แจกเงินดิจิทัล 10000 บาท,2025-01-01,InProgress
P002,20000002,สุราก้าวหน้า,2025-01-02,Pending
P003,30000003,บัตรสวัสดิการพลัส,2025-01-03,Lost
P004,40000004,กัญชาเสรีทางการแพทย์,2025-01-04,InProgress
P005,50000005,ประกันรายได้เกษตรกร,2025-01-05,Pending
P006,10000001,รถไฟฟ้า 20 บาทตลอดสาย,2025-01-06,Pending
P007,20000002,สมรสเท่าเทียม,2025-01-07,InProgress
P008,30000003,คนละครึ่งเฟสใหม่,2025-01-08,Lost
P009,40000004,พักหนี้ 3 ปี,2025-01-09,Pending
P010,50000005,เรียนฟรีถึงปริญญาตรี,2025-01-10,Pending
